NAICS,NAICS_TITLE,Image Generation AIIE,Language Modeling AIIE
000001,"Cross-industry, Private Ownership only",0.09471758149335592,0.24822869374742534
11,"Agriculture, Forestry, Fishing and Hunting",-1.219448962929524,-1.0806489713265892
113000,Forestry and Logging,-0.0967866614928503,-0.7773956366862381
113300,Logging,-0.0967866614928503,-0.7773956366862381
115000,Support Activities for Agriculture and Forestry,-1.346588216241483,-1.1178279759766243
115100,Support Activities for Crop Production,-1.439687707120601,-1.1979556860713787
115200,Support Activities for Animal Production,-0.47576413236437026,-0.35123358677415456
21,"Mining, Quarrying, and Oil and Gas Extraction",0.2731369961503679,-0.025326449882697298
211000,Oil and Gas Extraction,0.7219913383267077,0.47711870932092665
211100,Oil and Gas Extraction,0.7219913383267077,0.47711870932092665
212000,Mining (except Oil and Gas),0.06560767080650959,-0.31304575203066387
212100,Coal Mining,-0.07494761004141737,-0.4357110539850053
212200,Metal Ore Mining,0.19826018818285904,-0.18642263959921251
212300,Nonmetallic Mineral Mining and Quarrying,0.02539538418761593,-0.3518282211224197
213000,Support Activities for Mining,0.06896479456200279,-0.2143151054445002
213100,Support Activities for Mining,0.06896479456200279,-0.2143151054445002
22,Utilities,0.5942702766326383,0.31054519274842957
221000,Utilities,0.5942702766326383,0.31054519274842957
221100,"Electric Power Generation, Transmission and Distribution",0.574523704180881,0.283852816004929
221111,Hydroelectric Power Generation,0.33718354195094463,-0.02857879806384413
221112,Fossil Fuel Electric Power Generation,0.4011660762218311,-0.0021624762267900863
221113,Nuclear Electric Power Generation,0.7371474082111669,0.45536307454997554
221114,Solar Electric Power Generation,0.8499868350548363,0.5096381912577882
221115,Wind Electric Power Generation,0.6716638905501005,0.4361831394009025
221116,Geothermal Electric Power Generation,0.05916512234766966,-0.43578134234548244
221117,Biomass Electric Power Generation,0.11077773856648354,-0.34043725448761747
221118,Other Electric Power Generation,0.6898664568503394,0.5322371726525291
221200,Natural Gas Distribution,0.7391995270098344,0.44775491960797825
221300,"Water, Sewage and Other Systems",0.3331210905065588,0.1422829733317851
23,Construction,-0.21790208826183943,-0.46458782043725577
236000,Construction of Buildings,0.1285287127723461,-0.09479300020246186
236100,Residential Building Construction,-0.07829472042801065,-0.21948059844384907
236200,Nonresidential Building Construction,0.2907089197412003,0.004547800246011657
237000,Heavy and Civil Engineering Construction,-0.11533128137871672,-0.42703869602117084
237100,Utility System Construction,-0.1770525055191701,-0.47165761343670304
237130,Power and Communication Line and Related Structures Construction,-0.009802829186114477,-0.29583988788868937
237200,Land Subdivision,0.5020670161338631,0.4626653559044868
237300,"Highway, Street, and Bridge Construction",-0.17233547640118108,-0.5282131767278921
237900,Other Heavy and Civil Engineering Construction,0.10537017545691807,-0.22681684562463528
238000,Specialty Trade Contractors,-0.3831470007396733,-0.6238248340501583
238100,"Foundation, Structure, and Building Exterior Contractors",-0.6104521932352212,-0.760657537530423
238110,Poured Concrete Foundation and Structure Contractors,-0.6799585600289012,-0.870705707684188
238140,Masonry Contractors,-0.926281587790816,-1.0558874340654323
238160,Roofing Contractors,-0.6274007407327693,-0.6359965810332999
238200,Building Equipment Contractors,-0.2543977169425382,-0.5456868247500224
238210,Electrical Contractors and Other Wiring Installation Contractors,-0.014423414986244398,-0.3784005978569261
238220,"Plumbing, Heating, and Air-Conditioning Contractors",-0.4222430918780124,-0.6759259667633358
238290,Other Building Equipment Contractors,-0.13892648204061145,-0.3559270221075785
238300,Building Finishing Contractors,-0.6202060415435761,-0.716081732611532
238310,Drywall and Insulation Contractors,-0.7080354492332099,-0.8336857071811945
238320,Painting and Wall Covering Contractors,-0.8921506709251374,-0.832786225464668
238900,Other Specialty Trade Contractors,-0.40057775575350935,-0.6967920265099151
31-33,Manufacturing,0.4449410258319857,0.1520142633138887
311000,Food Manufacturing,-0.28628024838449195,-0.32292124493579005
311100,Animal Food Manufacturing,0.08414467528722414,-0.0835228625800103
311200,Grain and Oilseed Milling,0.3042521983294752,0.07141318948362196
311300,Sugar and Confectionery Product Manufacturing,-0.0989122787681753,-0.09549530777003765
311400,Fruit and Vegetable Preserving and Specialty Food Manufacturing,-0.1309436088688568,-0.23666595182157582
311500,Dairy Product Manufacturing,-0.14246287592310714,-0.25794115338573376
311600,Animal Slaughtering and Processing,-0.6959822151389814,-0.6786693165551068
311700,Seafood Product Preparation and Packaging,-0.25307573795686655,-0.2770856922015603
311800,Bakeries and Tortilla Manufacturing,-0.4059872183775263,-0.29997903345093524
311900,Other Food Manufacturing,-0.07281707829534816,-0.15445729985865672
312000,Beverage and Tobacco Product Manufacturing,-0.18421804966926936,-0.134678289054932
312100,Beverage Manufacturing,-0.213088826668006,-0.14926758389491007
312200,Tobacco Manufacturing,0.28290096410150817,0.1016707973938799
313000,Textile Mills,0.04985907266174155,-0.17042140604657124
313100,"Fiber, Yarn, and Thread Mills",-0.37580178709945816,-0.60958631619635
313200,Fabric Mills,0.02414547083718867,-0.17038544338738854
313300,Textile and Fabric Finishing and Fabric Coating Mills,0.25279021925991924,-0.009008123666684032
314000,Textile Product Mills,0.03637398451464262,-0.26835229392299625
314100,Textile Furnishings Mills,-0.16011938484441154,-0.39758878716858914
314900,Other Textile Product Mills,0.12335001695664981,-0.22163317407587263
315000,Apparel Manufacturing,0.1616219413476492,-0.13274403940526522
315100,Apparel Knitting Mills,-0.4270405065763735,-0.5452428246576387
315200,Cut and Sew Apparel Manufacturing,0.22539024514765432,-0.08874030878151917
315900,Apparel Accessories and Other Apparel Manufacturing,0.025984966914459375,-0.3133320308515724
316000,Leather and Allied Product Manufacturing,-0.05721693776017554,-0.2927653752845223
316100,Leather and Hide Tanning and Finishing,-0.2726288059380657,-0.46941145978997034
316200,Footwear Manufacturing,-0.2616622948316275,-0.5597641321850322
316900,Other Leather and Allied Product Manufacturing,0.07621079264264172,-0.12329083617493662
321000,Wood Product Manufacturing,-0.25071963202909375,-0.487181433535877
321100,Sawmills and Wood Preservation,-0.4276164176724569,-0.6945430152747112
321200,"Veneer, Plywood, and Engineered Wood Product Manufacturing",-0.1763324200215978,-0.4354131309785354
321900,Other Wood Product Manufacturing,-0.21429394177113686,-0.4278729785108012
322000,Paper Manufacturing,0.12129410774343834,-0.11162870860340432
322100,"Pulp, Paper, and Paperboard Mills",0.29766615600668656,0.017428405689009212
322200,Converted Paper Product Manufacturing,0.04115943883493639,-0.1750646441575447
323000,Printing and Related Support Activities,0.15020927969352182,-0.05508318764347703
323100,Printing and Related Support Activities,0.15020927969352182,-0.05508318764347703
324000,Petroleum and Coal Products Manufacturing,0.6262665967448816,0.2997072332816996
324100,Petroleum and Coal Products Manufacturing,0.6262665967448816,0.2997072332816996
325000,Chemical Manufacturing,0.632180320789101,0.37455189829969726
3250A1,"Chemical Manufacturing (3251, 3252, 3253, and 3259 only)",0.6523553777496006,0.32662740213111485
3250A2,Chemical Manufacturing (3255 and 3256 only),0.3729220010746769,0.1832691251179924
325400,Pharmaceutical and Medicine Manufacturing,0.7383603638911159,0.5138494988807102
326000,Plastics and Rubber Products Manufacturing,0.19836043711657791,-0.06239512376462704
326100,Plastics Product Manufacturing,0.2163961768622074,-0.04206966486813014
326200,Rubber Product Manufacturing,0.12929663393703075,-0.14119450342986603
327000,Nonmetallic Mineral Product Manufacturing,-0.15528802846741252,-0.5541605794547182
331000,Primary Metal Manufacturing,0.22004982781153012,-0.09812693316722446
331100,Iron and Steel Mills and Ferroalloy Manufacturing,0.1664149613277692,-0.1754157441718274
331200,Steel Product Manufacturing from Purchased Steel,0.1554489639764215,-0.14182626353684
331300,Alumina and Aluminum Production and Processing,0.18516214586591925,-0.12006705300770562
331400,Nonferrous Metal (except Aluminum) Production and Processing,0.33308633526835446,0.016023239871266647
331500,Foundries,0.23326023363121484,-0.0930340765498386
332000,Fabricated Metal Product Manufacturing,0.2983050874991437,-0.025982014081986114
3320A1,"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)",0.44457485193786705,0.11180472705579673
3320A2,Fabricated Metal Product Manufacturing (3323 and 3324 only),0.22873739689869843,-0.11695759641213595
332700,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",0.28862454218811145,-0.028512885668608406
332710,Machine Shops,0.27805488180745286,-0.04280402186000336
332720,"Turned Product and Screw, Nut, and Bolt Manufacturing",0.32221537331212313,0.014888859487928388
332800,"Coating, Engraving, Heat Treating, and Allied Activities",-0.008911619316199612,-0.24180467002036446
333000,Machinery Manufacturing,0.7112527333174159,0.3025040105849908
3330A1,"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)",0.70691568009729,0.29936393024028257
333300,Commercial and Service Industry Machinery Manufacturing,0.8404631005166682,0.4570140980390027
333500,Metalworking Machinery Manufacturing,0.5229460679492216,0.13517811865230187
333600,"Engine, Turbine, and Power Transmission Equipment Manufacturing",0.8469115008272591,0.3870841186806099
334000,Computer and Electronic Product Manufacturing,0.9641481603826865,0.6127451562956053
334100,Computer and Peripheral Equipment Manufacturing,1.0401308962878917,0.7758469655164795
334200,Communications Equipment Manufacturing,0.9417092765846081,0.6360490817595668
334300,Audio and Video Equipment Manufacturing,0.8116647113000157,0.6101646316934686
334400,Semiconductor and Other Electronic Component Manufacturing,0.9350575535422624,0.5378623741944009
334500,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",0.9810483054194493,0.6331517662603171
334600,Manufacturing and Reproducing Magnetic and Optical Media,0.9731288090262388,0.7927487258037611
335000,"Electrical Equipment, Appliance, and Component Manufacturing",0.6443219755828667,0.3148180622849024
335100,Electric Lighting Equipment Manufacturing,0.5907302165652896,0.34404979176279815
335200,Household Appliance Manufacturing,0.5072807710661401,0.17195474342176065
335300,Electrical Equipment Manufacturing,0.7188283729213251,0.37003861704407837
335900,Other Electrical Equipment and Component Manufacturing,0.6277577987770477,0.2968743399847948
336000,Transportation Equipment Manufacturing,0.7291601419336412,0.3621445983135094
336100,Motor Vehicle Manufacturing,0.7767623151134775,0.39765447800939313
336200,Motor Vehicle Body and Trailer Manufacturing,0.23410248566356615,-0.1253777721916941
336300,Motor Vehicle Parts Manufacturing,0.5091311135277256,0.13234375965130024
336400,Aerospace Product and Parts Manufacturing,0.9357319683696906,0.5790563420545524
336500,Railroad Rolling Stock Manufacturing,0.72044159168712,0.2999832856017969
336600,Ship and Boat Building,0.30752293168153594,-0.06796139005487746
336900,Other Transportation Equipment Manufacturing,0.4231909778544624,0.09065680450468379
337000,Furniture and Related Product Manufacturing,0.08377454385896861,-0.1894773441575916
3370A1,Furniture and Related Product Manufacturing (3371 and 3372 only),0.0881299527468248,-0.19001081711131929
337900,Other Furniture Related Product Manufacturing,-0.061376752688627544,-0.2701424562591933
339000,Miscellaneous Manufacturing,0.6470012450667202,0.3275087572833496
339100,Medical Equipment and Supplies Manufacturing,0.7747951549596508,0.4549724208742724
339900,Other Miscellaneous Manufacturing,0.4113155805108961,0.09156233716879808
339910,Jewelry and Silverware Manufacturing,0.5386553603880363,-0.31025962592702383
42,Wholesale Trade,0.2588196742244113,0.21799835655052055
423000,"Merchant Wholesalers, Durable Goods",0.32226714274018553,0.2425515362591824
4230A1,"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)",0.08371257204913085,0.022129879949189437
423100,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,0.06113206030245131,-0.04868114562370436
423400,Professional and Commercial Equipment and Supplies Merchant Wholesalers,0.7563782100617858,0.6747694291272537
423800,"Machinery, Equipment, and Supplies Merchant Wholesalers",0.28544634603728253,0.18820368009288344
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,-0.030255828930626328,-0.009224346781404652
424000,"Merchant Wholesalers, Nondurable Goods",0.09421910063189264,0.09467604143540849
4240A1,"Merchant Wholesalers, Nondurable Goods (4244 and 4248 only)",-0.2063196978318794,-0.20185401996317448
4240A2,"Merchant Wholesalers, Nondurable Goods (4242 and 4246 only)",0.6162217469058646,0.627080091425672
4240A3,"Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)",-0.07038273092712113,-0.09082057133576503
424300,"Apparel, Piece Goods, and Notions Merchant Wholesalers",0.32236356036602687,0.3626968828120657
424500,Farm Product Raw Material Merchant Wholesalers,-0.365461606304445,-0.42674919072703
425000,Wholesale Trade Agents and Brokers,0.5459395494804649,0.6246193963913412
425100,Wholesale Trade Agents and Brokers,0.5459395494804649,0.6246193963913412
44-45,Retail Trade,-0.6571780502453227,-0.15898927112977176
441000,Motor Vehicle and Parts Dealers,-0.2710453943815059,-0.09421436341154721
441100,Automobile Dealers,-0.1478794451300736,0.048316153649621926
441200,Other Motor Vehicle Dealers,-0.26121133343918534,-0.009735868263390218
441300,"Automotive Parts, Accessories, and Tire Retailers",-0.5909629308608251,-0.4788760763030111
444000,Building Material and Garden Equipment and Supplies Dealers,-0.7844494820622592,-0.35878623812209537
444100,Building Material and Supplies Dealers,-0.7946883659678324,-0.3667099146001553
444200,Lawn and Garden Equipment and Supplies Retailers,-0.7317336930263529,-0.31564457590879574
445000,Food and Beverage Retailers,-1.0109255828360255,-0.39385729788744084
4450A1,Food and Beverage Retailers (4451 and 4452 only),-1.0225728944947692,-0.41355285775082895
445300,"Beer, Wine, and Liquor Retailers",-0.8275767305564423,-0.03500393912562685
449000,"Furniture, Home Furnishings, Electronics, and Appliance Retailers",-0.24691749213617706,0.10053835511097649
449100,Furniture and Home Furnishings Retailers,-0.3906358751659229,-0.02925677167830974
449200,Electronics and Appliance Retailers,-0.07355860168522453,0.2659930974146344
455000,General Merchandise Retailers,-0.8699449699576839,-0.33337312242823985
456000,Health and Personal Care Retailers,-0.19396108189764744,0.2380394812532994
456100,Health and Personal Care Retailers,-0.19396108189764744,0.2380394812532994
456110,Pharmacies and Drug Retailers,-0.1778630765263503,0.20954068937657377
457000,Gasoline Stations and Fuel Dealers,-0.9085851839640995,-0.15231662312637423
457100,Gasoline Stations,-0.9791304192239401,-0.14812451666833779
457200,Fuel Dealers,-0.09609946521610195,-0.2913365247293479
458000,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",-0.45093346836285925,0.21921510346114628
458100,Clothing and Clothing Accessories Retailers,-0.5184828657000544,0.21627441630564914
458200,Shoe Retailers,-0.6596652786745699,0.2571274545042906
458300,"Jewelry, Luggage, and Leather Goods Retailers",0.016002908633642527,0.1551729472634184
459000,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",-0.4679036895538269,0.08261423544042298
4590A1,Miscellaneous Store Retailers (4594 and 4595 only),-0.5701784912344894,-0.0251774223632434
459100,"Sporting Goods, Hobby, and Musical Instrument Retailers",-0.5241252398144969,0.1621900891784361
459110,Sporting Goods Retailers,-0.5081352471550875,0.14969851535520803
459200,Book Retailers and News Dealers,-0.7835167226584004,0.090336555693351
459300,Florists,-0.2033214475461582,-0.2762617286629311
459900,Other Miscellaneous Retailers,-0.3590568091059002,0.12884100513252722
48-49,Transportation and Warehousing,-0.4145258973152231,-0.6434289442419505
481000,Air Transportation,-0.32622325824711135,-0.35706019467510136
481100,Scheduled Air Transportation,-0.45513500307855187,-0.430700992909581
481200,Nonscheduled Air Transportation,0.5421631599380894,0.18587794081536338
482000,Rail Transportation,0.11751992498248486,-0.27779608064585
482100,Rail Transportation,0.11751992498248486,-0.27779608064585
483000,Water Transportation,0.3591272867395824,0.1839486838210335
483100,"Deep Sea, Coastal, and Great Lakes Water Transportation",0.4913129620189146,0.4439052044246947
483200,Inland Water Transportation,-0.05507361211350141,-0.4759345473993891
484000,Truck Transportation,-0.218373464141712,-0.7372246359261369
485000,Transit and Ground Passenger Transportation,0.3012270355533177,-0.40271289446500336
485100,Urban Transit Systems,0.3270295108507366,-0.4232700053422545
485200,Interurban and Rural Bus Transportation,0.10706930721832973,-0.665223804913891
485300,Taxi and Limousine Service,0.5467827961857091,0.2576401673490672
485400,School and Employee Bus Transportation,0.1918423386681731,-0.7854939955229724
485500,Charter Bus Industry,0.36128763748231274,-0.3498467215879101
485900,Other Transit and Ground Passenger Transportation,0.23350149719959623,-0.3696478735737242
486000,Pipeline Transportation,0.7337660630631065,0.3223453400472918
486100,Pipeline Transportation of Crude Oil,0.8179108075713015,0.4896177051772771
