year,event,type,area_change_km2,core_area_km2,non_core_area_km2,tooltip_details
1957,罗马条约 (创始六国),start,3580804,1176335,2404469,"核心国: 法国, 西德, 意大利, 比利时, 荷兰, 卢森堡"
1962,阿尔及利亚独立,sub,-2381741,1176335,22728,"阿尔及利亚独立，非核心国减少"
1973,第一次扩张,add,2536382,1537117,2198328,"英国、爱尔兰、丹麦加入"
1981,第二次扩张,add,131957,1669074,2198328,"希腊加入"
1985,格陵兰退出,sub,-2175600,1669074,22728,"格陵兰退出（非核心国减少）"
1986,第三次扩张,add,589909,2258983,22728,"西班牙、葡萄牙加入"
1990,德国统一,add,108333,2367316,22728,"东德并入"
1995,第四次扩张,add,859336,3226652,22728,"奥地利、芬兰、瑞典加入"
2004,第五次扩张,add,737690,3964342,22728,"东欧10国加入"
2007,第六次扩张,add,348670,4313012,22728,"罗马尼亚、保加利亚加入"
2013,第七次扩张,add,56594,4369606,22728,"克罗地亚加入"
2020,英国脱欧,sub,-243610,4125996,22728,"英国退出（核心国减少）"
2020,EU-27,total,4148724,4125996,22728,"现今27国"